"date","result","jackpot","source"
"1994-11-18","3,16,18,28,35","","lottery_net"
"1994-11-22","2,8,9,16,26","","lottery_net"
"1994-11-25","1,10,12,20,27","","lottery_net"
"1994-11-29","9,17,21,30,33","","lottery_net"
"1994-12-02","5,13,18,24,27","","lottery_net"
"1994-12-06","9,14,20,32,34","","lottery_net"
"1994-12-09","12,14,17,20,28","","lottery_net"
"1994-12-13","1,3,15,32,35","","lottery_net"
"1994-12-16","3,9,15,18,20","","lottery_net"
"1994-12-20","2,6,13,19,32","","lottery_net"
"1994-12-23","9,17,25,27,29","","lottery_net"
"1994-12-27","2,4,22,30,35","","lottery_net"
"1994-12-30","8,10,11,17,18","","lottery_net"
"1995-01-03","1,9,20,22,33","","lottery_net"
"1995-01-06","5,6,10,13,32","","lottery_net"
"1995-01-10","19,21,22,28,31","","lottery_net"
"1995-01-13","8,9,16,17,18","","lottery_net"
"1995-01-17","1,4,9,11,28","","lottery_net"
"1995-01-20","1,26,27,31,32","","lottery_net"
"1995-01-24","1,17,20,21,34","","lottery_net"
"1995-01-27","13,14,15,26,30","","lottery_net"
"1995-01-31","8,21,26,29,30","","lottery_net"
"1995-02-03","14,17,18,27,34","","lottery_net"
"1995-02-07","3,6,10,21,22","","lottery_net"
"1995-02-10","3,5,11,14,33","","lottery_net"
"1995-02-14","8,9,13,14,29","","lottery_net"
"1995-02-17","12,16,28,30,32","","lottery_net"
"1995-02-21","10,18,24,26,28","","lottery_net"
"1995-02-24","2,14,16,23,35","","lottery_net"
"1995-02-28","6,10,16,22,24","","lottery_net"
"1995-03-03","10,13,15,24,32","","lottery_net"
"1995-03-07","4,9,10,29,35","","lottery_net"
"1995-03-10","6,10,12,13,25","","lottery_net"
"1995-03-14","17,18,19,34,35","","lottery_net"
"1995-03-17","14,20,21,30,33","","lottery_net"
"1995-03-21","17,18,23,28,35","","lottery_net"
"1995-03-24","2,7,17,33,34","","lottery_net"
"1995-03-28","17,20,31,33,35","","lottery_net"
"1995-03-31","1,3,16,18,20","","lottery_net"
"1995-04-04","3,5,8,16,34","","lottery_net"
"1995-04-07","1,11,16,25,34","","lottery_net"
"1995-04-11","4,13,15,17,32","","lottery_net"
"1995-04-14","3,4,5,8,32","","lottery_net"
"1995-04-18","5,21,22,24,32","","lottery_net"
"1995-04-21","8,12,24,30,33","","lottery_net"
"1995-04-25","7,10,11,26,27","","lottery_net"
"1995-04-28","6,13,21,26,33","","lottery_net"
"1995-05-02","2,4,6,11,15","","lottery_net"
"1995-05-05","21,27,29,30,31","","lottery_net"
"1995-05-09","1,20,25,30,32","","lottery_net"
"1995-05-12","13,14,18,23,24","","lottery_net"
"1995-05-16","15,18,19,28,31","","lottery_net"
"1995-05-19","5,12,16,24,31","","lottery_net"
"1995-05-23","3,8,9,14,23","","lottery_net"
"1995-05-26","2,29,30,31,34","","lottery_net"
"1995-05-30","1,3,11,13,17","","lottery_net"
"1995-06-02","1,17,21,29,35","","lottery_net"
"1995-06-06","1,9,12,25,27","","lottery_net"
"1995-06-09","1,2,4,23,35","","lottery_net"
"1995-06-13","6,12,17,33,35","","lottery_net"
"1995-06-16","5,11,12,16,35","","lottery_net"
"1995-06-20","8,12,29,32,33","","lottery_net"
"1995-06-23","3,4,16,18,24","","lottery_net"
"1995-06-27","11,23,26,28,35","","lottery_net"
"1995-06-30","5,19,26,29,34","","lottery_net"
